customer_id,id,installed_at,latitude,longitude,name,notes,serial_number,type
778,602,2025-08-05,,,"Åtekasse - 60.267102, 5.334734",Bak garasje,,Åtekasse
778,603,2025-08-05,,,"Åtekasse - 60.266938, 5.334274",Venstre for inngang,,Åtekasse
778,604,2025-08-05,,,"Åtekasse - 60.266952, 5.334171","60.266952, 5.334171",,Åtekasse
778,605,2025-08-05,,,"Åtekasse - 60.266969, 5.334019","60.266969, 5.334019",,Åtekasse
778,606,2025-08-05,,,"Åtekasse - 60.266885, 5.334030",Husvegg under tak,,Åtekasse
778,607,2025-08-05,,,"60.266806, 5.334408",Mur kortside,,
777,608,2025-08-05,,,"Åtekasse - 60.267137, 5.333614",Front av lite uthus.,,Åtekasse
777,609,2025-08-05,,,"Åtekasse - 60.267210, 5.333337",Bak søppelspann,,Åtekasse
777,610,2025-08-05,,,"Åtekasse - 60.267131, 5.333258",Bak busk ende av platting,,Åtekasse
777,611,2025-08-05,,,"60.267085, 5.333430","Bak busk, hjørne av platting",,
776,612,2025-08-05,,,"Åtekasse - 60.267663, 5.333404","I busk, ved lufting kloakk",,Åtekasse
776,613,2025-08-05,,,"Åtekasse - 60.267869, 5.333496",Langs gjerde ved innkjørsel,,Åtekasse
779,614,2025-08-05,,,"Åtekasse - 60.267790, 5.333057",I skråning over steinbelagt vekk,,Åtekasse
779,615,2025-08-07,,,"Åtekasse - 60.267862, 5.332975",Bak garasje,,Åtekasse
779,616,2025-08-07,,,"60.267831, 5.332760","Redskapsbod, bak bosspann",,
779,617,2025-08-07,,,"60.268024, 5.332896",Bak kompostbinge,,
828,618,2025-08-07,,,"Åtekasse - 60.308015, 5.040172",Nedside natursteinsmur,,Åtekasse
828,619,2025-08-07,,,"Åtekasse - 60.308217, 5.040573",Ved liten steinknaus,,Åtekasse
828,620,2025-08-07,,,"Åtekasse - 60.308159, 5.041120",Steinmur bak løe,,Åtekasse
828,621,2025-08-07,,,"Åtekasse - 60.308120, 5.041131",Steinmur bak løe,,Åtekasse
828,622,2025-08-07,,,"Åtekasse - 60.307767, 5.041914",I steinmur ved lammefjøs,,Åtekasse
828,623,2025-08-07,,,"Åtekasse - 60.308030, 5.040707",Natursteinsmur lite uthus,,Åtekasse
828,624,2025-08-07,,,"Åtekasse - 60.307988, 5.040237",Natursteinsmur ved garasjen,,Åtekasse
712,625,2025-08-07,,,"Åtekasse - 60.463562, 5.308201",Kortside nr 25,,Åtekasse
712,626,2025-08-07,,,"Åtekasse - 60.463114, 5.308536",Kortside nr 37,,Åtekasse
712,627,2025-08-07,,,"Åtekasse - 60.463160, 5.307726","Kortside, oppå mur.",,Åtekasse
712,628,2025-08-07,,,"Åtekasse - 60.463637, 5.307360","Til høyre, under trapp til platting.",,Åtekasse
712,629,2025-08-07,,,"Åtekasse - 60.463605, 5.306804",Under bod på kortside. Venstre for dør.,,Åtekasse
712,630,2025-08-07,,,"Åtekasse - 60.463345, 5.306968","Kortside,  begynnelse av skråpanel.",,Åtekasse
712,631,2025-08-07,,,"Åtekasse - 60.463209, 5.307060","Kortside, ved varmepumpe.",,Åtekasse
712,632,2025-08-07,,,"Åtekasse - 60.462518, 5.307646",Bak garasje.,,Åtekasse
712,633,2025-08-07,,,"Åtekasse - 60.462365, 5.305966","Front, veg mellom 35 og 37",,Åtekasse
712,634,2025-08-07,,,"Åtekasse - 60.462541, 5.305880",Under trapp til første platting.,,Åtekasse
712,635,2025-08-07,,,"Åtekasse - 60.462991, 5.305729",Mellom strømskap i hekk.,,Åtekasse
712,636,2025-08-07,,,"Åtekasse - 60.463305, 5.305612",Kortsiden. Under terrasse på hjørnet.,,Åtekasse
712,637,2025-08-07,,,"Åtekasse - 60.463542, 5.306176","Under rist, kortside.",,Åtekasse
832,645,2025-07-01,,,"Åtekasse - 60.519296, 5.294053",Bak garasje,,Åtekasse
832,646,2025-07-02,,,"Gassfelle - 60.519248, 5.294050",Hjørne mellom hus og garasje,,Gassfelle
774,648,2025-07-31,,,"Åtekasse - 60.267669, 5.333976","Under trapp, bak bod.",,Åtekasse
774,649,2025-07-31,,,"Åtekasse - 60.267741, 5.334345",Under vedstabel,,Åtekasse
774,650,2025-07-31,,,"Åtekasse - 60.267776, 5.333743",På husvegg,,Åtekasse
774,651,2025-07-31,,,"Åtekasse - 60.267664, 5.333778",På husvegg,,Åtekasse
774,652,2025-07-31,,,"Åtekasse - 60.267771, 5.333520",I hekk.,,Åtekasse
807,653,2025-08-01,,,"Åtekasse - 60.385740, 5.269943",Bak blomsterpotter ved mur.,,Åtekasse
807,654,2025-08-01,,,"Åtekasse - 60.385760, 5.269993",Bak skille ved steiner,,Åtekasse
807,655,2025-08-01,,,"Åtekasse - 60.385793, 5.270040",Utsiden av gjerde ved port.,,Åtekasse
807,656,2025-08-01,,,"Åtekasse - 60.385812, 5.269977",Under terrasse ved tap,,Åtekasse
817,657,2025-08-01,,,"Åtekasse - 60.388351, 5.290631",Under trapp ved bod,,Åtekasse
817,658,2025-08-01,,,"Åtekasse - 60.388501, 5.290540",Natursteinsmur foran hus,,Åtekasse
817,659,2025-08-01,,,"Åtekasse - 60.388340, 5.290402",Bak bod,,Åtekasse
809,660,2025-08-01,,,"Åtekasse - 60.386241, 5.293493",Langs husvegg,,Åtekasse
809,661,2025-08-01,,,"Åtekasse - 60.386313, 5.293443",Langs husvegg,,Åtekasse
809,662,2025-08-01,,,"Åtekasse - 60.386274, 5.293488","1m ut fra vegg, mot plen.",,Åtekasse
809,663,2025-08-01,,,"Åtekasse - 60.386216, 5.293253",Langs mur mot vei,,Åtekasse
813,664,2025-08-01,,,"Åtekasse - 60.371015, 5.302048","Bakside, mot skog,  79C",,Åtekasse
813,665,2025-08-01,,,"Åtekasse - 60.371047, 5.301628",Bakside 79D,,Åtekasse
813,666,2025-08-01,,,"Åtekasse - 60.371100, 5.301153","Kortsiden 79E, under terrasse",,Åtekasse
813,667,2025-08-01,,,"Åtekasse - 60.371158, 5.300291",Kortside 79G.,,Åtekasse
813,668,2025-08-01,,,"Åtekasse - 60.371420, 5.301608",Front 79A,,Åtekasse
778,669,2025-08-05,,,"Åtekasse - 60.267102, 5.334734",Bak garasje,,Åtekasse
778,670,2025-08-05,,,"Åtekasse - 60.266938, 5.334274",Venstre for inngang,,Åtekasse
778,671,2025-08-05,,,"Åtekasse - 60.266952, 5.334171","60.266952, 5.334171",,Åtekasse
778,672,2025-08-05,,,"Åtekasse - 60.266969, 5.334019","60.266969, 5.334019",,Åtekasse
778,673,2025-08-05,,,"Åtekasse - 60.266885, 5.334030",Husvegg under tak,,Åtekasse
778,674,2025-08-05,,,"60.266806, 5.334408",Mur kortside,,
777,675,2025-08-05,,,"Åtekasse - 60.267137, 5.333614",Front av lite uthus.,,Åtekasse
777,676,2025-08-05,,,"Åtekasse - 60.267210, 5.333337",Bak søppelspann,,Åtekasse
777,677,2025-08-05,,,"Åtekasse - 60.267131, 5.333258",Bak busk ende av platting,,Åtekasse
777,678,2025-08-05,,,"60.267085, 5.333430","Bak busk, hjørne av platting",,
776,679,2025-08-05,,,"Åtekasse - 60.267663, 5.333404","I busk, ved lufting kloakk",,Åtekasse
776,680,2025-08-05,,,"Åtekasse - 60.267869, 5.333496",Langs gjerde ved innkjørsel,,Åtekasse
779,681,2025-08-05,,,"Åtekasse - 60.267790, 5.333057",I skråning over steinbelagt vekk,,Åtekasse
779,682,2025-08-07,,,"Åtekasse - 60.267862, 5.332975",Bak garasje,,Åtekasse
779,683,2025-08-07,,,"60.267831, 5.332760","Redskapsbod, bak bosspann",,
779,684,2025-08-07,,,"60.268024, 5.332896",Bak kompostbinge,,
828,685,2025-08-07,,,"Åtekasse - 60.308015, 5.040172",Nedside natursteinsmur,,Åtekasse
828,686,2025-08-07,,,"Åtekasse - 60.308217, 5.040573",Ved liten steinknaus,,Åtekasse
828,687,2025-08-07,,,"Åtekasse - 60.308159, 5.041120",Steinmur bak løe,,Åtekasse
828,688,2025-08-07,,,"Åtekasse - 60.308120, 5.041131",Steinmur bak løe,,Åtekasse
828,689,2025-08-07,,,"Åtekasse - 60.307767, 5.041914",I steinmur ved lammefjøs,,Åtekasse
828,690,2025-08-07,,,"Åtekasse - 60.308030, 5.040707",Natursteinsmur lite uthus,,Åtekasse
828,691,2025-08-07,,,"Åtekasse - 60.307988, 5.040237",Natursteinsmur ved garasjen,,Åtekasse
712,692,2025-08-07,,,"Åtekasse - 60.463562, 5.308201",Kortside nr 25,,Åtekasse
712,693,2025-08-07,,,"Åtekasse - 60.463114, 5.308536",Kortside nr 37,,Åtekasse
712,694,2025-08-07,,,"Åtekasse - 60.463160, 5.307726","Kortside, oppå mur.",,Åtekasse
712,695,2025-08-07,,,"Åtekasse - 60.463637, 5.307360","Til høyre, under trapp til platting.",,Åtekasse
712,696,2025-08-07,,,"Åtekasse - 60.463605, 5.306804",Under bod på kortside. Venstre for dør.,,Åtekasse
712,697,2025-08-07,,,"Åtekasse - 60.463345, 5.306968","Kortside,  begynnelse av skråpanel.",,Åtekasse
712,698,2025-08-07,,,"Åtekasse - 60.463209, 5.307060","Kortside, ved varmepumpe.",,Åtekasse
712,699,2025-08-07,,,"Åtekasse - 60.462518, 5.307646",Bak garasje.,,Åtekasse
712,700,2025-08-07,,,"Åtekasse - 60.462365, 5.305966","Front, veg mellom 35 og 37",,Åtekasse
712,701,2025-08-07,,,"Åtekasse - 60.462541, 5.305880",Under trapp til første platting.,,Åtekasse
712,702,2025-08-07,,,"Åtekasse - 60.462991, 5.305729",Mellom strømskap i hekk.,,Åtekasse
712,703,2025-08-07,,,"Åtekasse - 60.463305, 5.305612",Kortsiden. Under terrasse på hjørnet.,,Åtekasse
712,704,2025-08-07,,,"Åtekasse - 60.463542, 5.306176","Under rist, kortside.",,Åtekasse
832,712,2025-07-01,,,"Åtekasse - 60.519296, 5.294053",Bak garasje,,Åtekasse
832,713,2025-07-02,,,"Gassfelle - 60.519248, 5.294050",Hjørne mellom hus og garasje,,Gassfelle
774,715,2025-07-31,,,"Åtekasse - 60.267669, 5.333976","Under trapp, bak bod.",,Åtekasse
774,716,2025-07-31,,,"Åtekasse - 60.267741, 5.334345",Under vedstabel,,Åtekasse
774,717,2025-07-31,,,"Åtekasse - 60.267776, 5.333743",På husvegg,,Åtekasse
774,718,2025-07-31,,,"Åtekasse - 60.267664, 5.333778",På husvegg,,Åtekasse
774,719,2025-07-31,,,"Åtekasse - 60.267771, 5.333520",I hekk.,,Åtekasse
807,720,2025-08-01,,,"Åtekasse - 60.385740, 5.269943",Bak blomsterpotter ved mur.,,Åtekasse
807,721,2025-08-01,,,"Åtekasse - 60.385760, 5.269993",Bak skille ved steiner,,Åtekasse
807,722,2025-08-01,,,"Åtekasse - 60.385793, 5.270040",Utsiden av gjerde ved port.,,Åtekasse
807,723,2025-08-01,,,"Åtekasse - 60.385812, 5.269977",Under terrasse ved tap,,Åtekasse
817,724,2025-08-01,,,"Åtekasse - 60.388351, 5.290631",Under trapp ved bod,,Åtekasse
817,725,2025-08-01,,,"Åtekasse - 60.388501, 5.290540",Natursteinsmur foran hus,,Åtekasse
817,726,2025-08-01,,,"Åtekasse - 60.388340, 5.290402",Bak bod,,Åtekasse
809,727,2025-08-01,,,"Åtekasse - 60.386241, 5.293493",Langs husvegg,,Åtekasse
809,728,2025-08-01,,,"Åtekasse - 60.386313, 5.293443",Langs husvegg,,Åtekasse
809,729,2025-08-01,,,"Åtekasse - 60.386274, 5.293488","1m ut fra vegg, mot plen.",,Åtekasse
809,730,2025-08-01,,,"Åtekasse - 60.386216, 5.293253",Langs mur mot vei,,Åtekasse
813,731,2025-08-01,,,"Åtekasse - 60.371015, 5.302048","Bakside, mot skog,  79C",,Åtekasse
813,732,2025-08-01,,,"Åtekasse - 60.371047, 5.301628",Bakside 79D,,Åtekasse
813,733,2025-08-01,,,"Åtekasse - 60.371100, 5.301153","Kortsiden 79E, under terrasse",,Åtekasse
813,734,2025-08-01,,,"Åtekasse - 60.371158, 5.300291",Kortside 79G.,,Åtekasse
813,735,2025-08-01,,,"Åtekasse - 60.371420, 5.301608",Front 79A,,Åtekasse
778,736,2025-08-05,,,"Åtekasse - 60.267102, 5.334734",Bak garasje,,Åtekasse
778,737,2025-08-05,,,"Åtekasse - 60.266938, 5.334274",Venstre for inngang,,Åtekasse
778,738,2025-08-05,,,"Åtekasse - 60.266952, 5.334171","60.266952, 5.334171",,Åtekasse
778,739,2025-08-05,,,"Åtekasse - 60.266969, 5.334019","60.266969, 5.334019",,Åtekasse
778,740,2025-08-05,,,"Åtekasse - 60.266885, 5.334030",Husvegg under tak,,Åtekasse
778,741,2025-08-05,,,"60.266806, 5.334408",Mur kortside,,
777,742,2025-08-05,,,"Åtekasse - 60.267137, 5.333614",Front av lite uthus.,,Åtekasse
777,743,2025-08-05,,,"Åtekasse - 60.267210, 5.333337",Bak søppelspann,,Åtekasse
777,744,2025-08-05,,,"Åtekasse - 60.267131, 5.333258",Bak busk ende av platting,,Åtekasse
777,745,2025-08-05,,,"60.267085, 5.333430","Bak busk, hjørne av platting",,
776,746,2025-08-05,,,"Åtekasse - 60.267663, 5.333404","I busk, ved lufting kloakk",,Åtekasse
776,747,2025-08-05,,,"Åtekasse - 60.267869, 5.333496",Langs gjerde ved innkjørsel,,Åtekasse
779,748,2025-08-05,,,"Åtekasse - 60.267790, 5.333057",I skråning over steinbelagt vekk,,Åtekasse
779,749,2025-08-07,,,"Åtekasse - 60.267862, 5.332975",Bak garasje,,Åtekasse
779,750,2025-08-07,,,"60.267831, 5.332760","Redskapsbod, bak bosspann",,
779,751,2025-08-07,,,"60.268024, 5.332896",Bak kompostbinge,,
828,752,2025-08-07,,,"Åtekasse - 60.308015, 5.040172",Nedside natursteinsmur,,Åtekasse
828,753,2025-08-07,,,"Åtekasse - 60.308217, 5.040573",Ved liten steinknaus,,Åtekasse
828,754,2025-08-07,,,"Åtekasse - 60.308159, 5.041120",Steinmur bak løe,,Åtekasse
828,755,2025-08-07,,,"Åtekasse - 60.308120, 5.041131",Steinmur bak løe,,Åtekasse
828,756,2025-08-07,,,"Åtekasse - 60.307767, 5.041914",I steinmur ved lammefjøs,,Åtekasse
828,757,2025-08-07,,,"Åtekasse - 60.308030, 5.040707",Natursteinsmur lite uthus,,Åtekasse
828,758,2025-08-07,,,"Åtekasse - 60.307988, 5.040237",Natursteinsmur ved garasjen,,Åtekasse
712,759,2025-08-07,,,"Åtekasse - 60.463562, 5.308201",Kortside nr 25,,Åtekasse
712,760,2025-08-07,,,"Åtekasse - 60.463114, 5.308536",Kortside nr 37,,Åtekasse
712,761,2025-08-07,,,"Åtekasse - 60.463160, 5.307726","Kortside, oppå mur.",,Åtekasse
712,762,2025-08-07,,,"Åtekasse - 60.463637, 5.307360","Til høyre, under trapp til platting.",,Åtekasse
712,763,2025-08-07,,,"Åtekasse - 60.463605, 5.306804",Under bod på kortside. Venstre for dør.,,Åtekasse
712,764,2025-08-07,,,"Åtekasse - 60.463345, 5.306968","Kortside,  begynnelse av skråpanel.",,Åtekasse
712,765,2025-08-07,,,"Åtekasse - 60.463209, 5.307060","Kortside, ved varmepumpe.",,Åtekasse
712,766,2025-08-07,,,"Åtekasse - 60.462518, 5.307646",Bak garasje.,,Åtekasse
712,767,2025-08-07,,,"Åtekasse - 60.462365, 5.305966","Front, veg mellom 35 og 37",,Åtekasse
712,768,2025-08-07,,,"Åtekasse - 60.462541, 5.305880",Under trapp til første platting.,,Åtekasse
712,769,2025-08-07,,,"Åtekasse - 60.462991, 5.305729",Mellom strømskap i hekk.,,Åtekasse
712,770,2025-08-07,,,"Åtekasse - 60.463305, 5.305612",Kortsiden. Under terrasse på hjørnet.,,Åtekasse
712,771,2025-08-07,,,"Åtekasse - 60.463542, 5.306176","Under rist, kortside.",,Åtekasse
